# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.0
#  dw_up dw_down
1.354307329623251732e+00 1.426049452037602361e+00
1.375486539254747509e+00 1.466721078569208636e+00
1.311999358707030883e+00 1.432608427268840412e+00
1.355315352803184714e+00 1.330571534889026353e+00
1.353963123572363925e+00 1.454546876696783064e+00
1.361818044405078032e+00 1.411468346807148055e+00
1.349024213447287623e+00 1.440482391523454142e+00
1.323201195825847609e+00 1.426068691991142501e+00
1.300762366100082890e+00 1.426356972555858027e+00
1.299692998432996793e+00 1.451423383209221374e+00
1.330785126835763776e+00 1.455177986783416699e+00
1.361445822646613957e+00 1.420456639469559468e+00
1.344042804401469837e+00 1.292314919246174254e+00
1.323691142742394078e+00 1.307304973594567876e+00
1.339527501058547454e+00 1.421710532290800799e+00
1.350174269041531039e+00 1.453107336109743297e+00
1.352753520187154557e+00 1.455810879305228012e+0080
1.307177935445252848e+00 1.411570831766172152e+00
1.296975007323060147e+00 1.454852478726798459e+00
1.290617952092406373e+00 1.421838356645088064e+00
1.321794748323129820e+00 1.459284816623483971e+00
1.320046374788502064e+00 1.471306222535805119e+00
1.361787760902342326e+00 1.462802316813634151e+00
1.341965422091907501e+00 1.272673992752961114e+00
1.380949646517355411e+00 1.168954435784833157e+00
1.401568908503884492e+00 1.139749993324804755e+00
1.312309074234119910e+00 1.290329505006699629e+00
1.332543987965754129e+00 1.318617150209731692e+00
1.335205755770866309e+00 1.408966167218385968e+00
1.338391902416344426e+00 1.529234217692410969e+00
1.321542381310730541e+00 1.495262662692284694e+00
1.311749153426522874e+00 1.494641263537135778e+00
1.322558946989555340e+00 1.418897960448877171e+00
1.310350735510261933e+00 1.437043865633937934e+00
1.302054358568249359e+00 1.456065051764847684e+00
1.313973387184205421e+00 1.447645968909778480e+00
1.330986204945139972e+00 1.469434815647225001e+00
1.319964859225758680e+00 1.412122519877805127e+00
1.302359737405395679e+00 1.314162073838033296e+00
1.391906412135026860e+00 1.149920052691537409e+00
1.425830623207049674e+00 1.104231059249980662e+00
1.420581015956349225e+00 1.125771471591717532e+00
1.399482296456753927e+00 1.197582191676066943e+00
1.306746547709199513e+00 1.288677470909168843e+00
1.318288300134880409e+00 1.320765294458189354e+00
1.320566563735781740e+00 1.572627600204554943e+00
1.320621965185251767e+00 1.536632979048661696e+00
1.311016452211430927e+00 1.406763640577656682e+00
1.261747867905500975e+00 1.407749925085175491e+00
1.298305243005089205e+00 1.447090351691923571e+00
1.301395097705042803e+00 1.459290724131889760e+00
1.296996560766507489e+00 1.418860322049061429e+00
1.309245432923107577e+00 1.426157397245922942e+00
1.308073068904837655e+00 1.463174255202420948e+00
1.319436665892544269e+00 1.454975851493076622e+00
1.321649961899817427e+00 1.465607452874389871e+00
1.289703367501874309e+00 1.584977661091426349e+00
1.309302244850037100e+00 1.480304820617335260e+00
1.382566080067791248e+00 1.180721865448740582e+00
1.456485753153265561e+00 1.118321509047408346e+00
