# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.008
#
#  h0 h0_err q0 q0_err
7.266341132232084776e-01 2.449833790699647469e-03 2.458713532375190081e+00 1.651050012888975738e-01
7.265794520174325699e-01 2.438196584291822070e-03 2.440158697032190016e+00 1.626850884602034919e-01
7.267956096347081285e-01 2.437706060990977881e-03 2.515005595394336435e+00 1.652785755354295727e-01
7.270158292915661624e-01 2.452820390472984762e-03 2.513251263110661604e+00 1.657190456299903469e-01
7.270898314998786027e-01 2.433889998114830647e-03 2.488591383632465792e+00 1.633252355306223091e-01
7.268953467994113682e-01 2.430767651058170394e-03 2.426433087706507230e+00 1.614423858390268141e-01
7.268916451936402456e-01 2.426030095752340979e-03 2.430426816931047007e+00 1.605406107921729664e-01
7.268829677998929206e-01 2.426741839036922026e-03 2.469837232865768950e+00 1.617296735350321479e-01
7.269308009936417125e-01 2.433689183742765091e-03 2.529395249321196637e+00 1.647023650577796039e-01
7.268388990295148178e-01 2.439021607218893641e-03 2.522807058426858706e+00 1.652513083500559699e-01
7.269248286042043761e-01 2.443995175060130910e-03 2.518749539578194696e+00 1.653469784836241463e-01
7.266962534406845586e-01 2.451624522658161880e-03 2.484815545099830381e+00 1.651241221164818085e-01
7.276051705409126713e-01 2.438769372236911787e-03 2.495005231653805389e+00 1.631056327494286584e-01
7.272284039144184531e-01 2.434977926676712857e-03 2.485207652715098359e+00 1.629970377163907913e-01
7.270378151336012174e-01 2.424173456477462987e-03 2.435216357707261192e+00 1.604424864590744126e-01
7.268427182646048923e-01 2.416780816557188502e-03 2.436515242624880173e+00 1.603042379089286151e-01
7.272800325695232271e-01 2.426095621530471261e-03 2.452171197512415191e+00 1.601793534478203884e-01
7.268983361147400846e-01 2.427300911701181854e-03 2.471187801647251714e+00 1.617666050251609089e-01
7.269585002412504160e-01 2.412226032631978670e-03 2.473304162729371924e+00 1.602234166660915227e-01
7.267396252847675431e-01 2.430454982397071972e-03 2.515202550690335936e+00 1.635301218211314689e-01
7.263062958337105357e-01 2.435582342808595684e-03 2.491580791790436233e+00 1.651277095392118810e-01
7.270404694985974636e-01 2.446447206606833236e-03 2.528333752986701377e+00 1.655636598015068628e-01
7.275848281117637262e-01 2.464740961991410996e-03 2.531945331340725414e+00 1.663272581781427562e-01
7.272248609695954880e-01 2.469188095464746983e-03 2.506860887690284034e+00 1.668956092477431874e-01
7.274524440474471332e-01 2.445658664902819728e-03 2.484478350002607971e+00 1.640787142212885297e-01
7.279515060518536584e-01 2.444682581225090297e-03 2.504868906969225595e+00 1.631527495421554452e-01
7.266290605855059148e-01 2.431406490774102019e-03 2.406772429200647601e+00 1.611287936696749468e-01
7.264413240024237828e-01 2.422987528124659600e-03 2.393810199484546875e+00 1.599075232008504155e-01
7.261986222004994662e-01 2.422305550685577031e-03 2.391093260838724976e+00 1.603797680251680957e-01
7.265599623979321908e-01 2.411762693364860339e-03 2.426384069151318545e+00 1.594074168293942440e-01
7.265783937228977862e-01 2.417541254623360638e-03 2.443368234184292387e+00 1.609480034439339791e-01
7.269158290799996314e-01 2.415502344842043302e-03 2.469846181764509208e+00 1.602904493894196924e-01
7.267663905177301764e-01 2.419456281651358436e-03 2.462598781790850122e+00 1.604484713071641644e-01
7.265459790190067491e-01 2.423070368495344306e-03 2.514033696046888977e+00 1.632628016183148845e-01
7.258925432298487523e-01 2.411625718278563504e-03 2.458489691753598549e+00 1.623939708209648225e-01
7.255963904564330935e-01 2.427926848930774158e-03 2.449048739287602139e+00 1.648085605360167238e-01
