# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0
#
#  h0 h0_err q0 q0_err
7.272625594257084991e-01 2.433689451416041864e-03 -9.470568992607542036e-01 1.783445351389352784e-01
7.270734006078204414e-01 2.421712876446402776e-03 -9.421006085342319425e-01 1.758239378429603261e-01
7.272666602719125573e-01 2.421737986064693201e-03 -9.303374606422059045e-01 1.785896651765149223e-01
7.276402014835435805e-01 2.437426417567866484e-03 -9.047136011118981358e-01 1.791700312990143207e-01
7.276699773360807422e-01 2.419363585981275117e-03 -9.132778624147132041e-01 1.766654304535924813e-01
7.274624075190957440e-01 2.415783632353076058e-03 -9.352261828500390006e-01 1.746315042701306330e-01
7.273335018478346292e-01 2.410450418047342582e-03 -9.306926270421628233e-01 1.736558684848056033e-01
7.273633777446664173e-01 2.411577291700498209e-03 -9.115219165077983465e-01 1.749870190424830663e-01
7.273919517908409293e-01 2.419076056442015163e-03 -9.111423573264809672e-01 1.781597832332631470e-01
7.273015732424700230e-01 2.422972378498174876e-03 -9.206466443844333325e-01 1.786395084115895704e-01
7.275155113831954790e-01 2.429643320046170982e-03 -9.062953755397366029e-01 1.788589531255340981e-01
7.273073646635480616e-01 2.436815185034814021e-03 -9.221271209999071239e-01 1.785162511455953838e-01
7.281689812831338982e-01 2.424667172810729843e-03 -8.976062947810706794e-01 1.765119454759211393e-01
7.277898950721697346e-01 2.420124159563845703e-03 -9.081917728256330147e-01 1.763357538274981096e-01
7.275228591034340608e-01 2.408495687148007845e-03 -9.211879213959527357e-01 1.735257167689943369e-01
7.272813708431721258e-01 2.401036356107130385e-03 -9.326586826270920616e-01 1.734130007848465604e-01
7.277021560422947122e-01 2.411149858691642115e-03 -9.035990127171960040e-01 1.733973102686850454e-01
7.273792339368756465e-01 2.412209004568116513e-03 -9.101934994731117889e-01 1.750485294718757967e-01
7.274338022328386000e-01 2.397727553167324117e-03 -8.944719622343344501e-01 1.734255650950151939e-01
7.271969849290876864e-01 2.415531488107242834e-03 -9.027691805428086358e-01 1.769243863335116518e-01
7.267698776206088507e-01 2.420817610196779410e-03 -9.519993952693894812e-01 1.784457383452034973e-01
7.276331665837243445e-01 2.431981863387915142e-03 -8.977920585515138940e-01 1.791269874939965256e-01
7.282148169403338533e-01 2.449845409121504877e-03 -8.832282821440813336e-01 1.799777568193855759e-01
7.278141274944242012e-01 2.454770201413936093e-03 -9.196728977134035476e-01 1.805495105066773076e-01
7.280138770885994370e-01 2.431731077912988905e-03 -9.193355557794791189e-01 1.775835395409165463e-01
7.285085125217802826e-01 2.430609750594984412e-03 -8.840946919651980762e-01 1.766444362964089965e-01
7.271778320976213239e-01 2.416872575358081521e-03 -9.441858819620290166e-01 1.742672266399247494e-01
7.269200718029877883e-01 2.407101543952186277e-03 -9.487032846586582746e-01 1.728031594541842852e-01
