# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.01
# 
#  h0 h0_err q0 q0_err
7.266341132232084776e-01 2.092873637006220210e-03 2.458713532375190081e+00 1.474364744542679961e-01
7.265794520174325699e-01 2.182404615043100852e-03 2.440158697032190016e+00 1.623965143662968180e-01
7.267956096347081285e-01 2.193532747081684484e-03 2.515005595394336435e+00 1.646410959876348779e-01
7.270158292915661624e-01 2.108692451555545678e-03 2.513251263110661604e+00 1.498263598903991634e-01
7.270898314998786027e-01 2.093020669842735222e-03 2.488591383632465792e+00 1.481136929608356245e-01
7.268953467994113682e-01 2.102383790011906790e-03 2.426433087706507230e+00 1.507383193378044051e-01
7.268916451936402456e-01 2.118619597249423066e-03 2.430426816931047007e+00 1.515617458858720679e-01
7.268829677998929206e-01 2.188121377080171244e-03 2.469837232865768950e+00 1.641488338731308672e-01
7.269308009936417125e-01 2.201666984616704268e-03 2.529395249321196637e+00 1.647187446325710236e-01
7.268388990295148178e-01 2.193467108979185211e-03 2.522807058426858706e+00 1.641266334560317341e-01
7.269248286042043761e-01 2.145653772358220752e-03 2.518749539578194696e+00 1.539430144183125959e-01
7.266962534406845586e-01 2.095336164747847469e-03 2.484815545099830381e+00 1.485327152201698642e-01
7.276051705409126713e-01 2.094387798470260034e-03 2.495005231653805389e+00 1.492537657264255690e-01
7.272284039144184531e-01 2.080984684243942888e-03 2.485207652715098359e+00 1.474871009827530555e-01
7.270378151336012174e-01 2.099173857361143203e-03 2.435216357707261192e+00 1.512561818839575078e-01
7.268427182646048923e-01 2.122245026254992138e-03 2.436515242624880173e+00 1.518989097981837399e-01
7.272800325695232271e-01 2.179802714084457145e-03 2.452171197512415191e+00 1.630878199044936416e-01
7.268983361147400846e-01 2.188835792989853556e-03 2.471187801647251714e+00 1.640496176286149466e-01
7.269585002412504160e-01 2.194654013029307977e-03 2.473304162729371924e+00 1.641108682941454233e-01
7.267396252847675431e-01 2.213833917739438818e-03 2.515202550690335936e+00 1.648446786565269384e-01
7.263062958337105357e-01 2.202838048543112170e-03 2.491580791790436233e+00 1.642647114417424004e-01
7.270404694985974636e-01 2.152868556830666268e-03 2.528333752986701377e+00 1.540805636726383931e-01
7.275848281117637262e-01 2.106783449530671894e-03 2.531945331340725414e+00 1.493706606330609254e-01
7.272248609695954880e-01 2.089040432536528203e-03 2.506860887690284034e+00 1.478330318843616431e-01
7.274524440474471332e-01 2.128274734675056346e-03 2.484478350002607971e+00 1.531682549794649295e-01
7.279515060518536584e-01 2.113968457775648041e-03 2.504868906969225595e+00 1.522719714480175457e-01
7.266290605855059148e-01 2.094864423310944558e-03 2.406772429200647601e+00 1.518819296658694695e-01
7.264413240024237828e-01 2.117986553546731109e-03 2.393810199484546875e+00 1.526591002268628539e-01
7.261986222004994662e-01 2.121443038770957565e-03 2.391093260838724976e+00 1.515823765062696560e-01
7.265599623979321908e-01 2.185314414980004619e-03 2.426384069151318545e+00 1.631814337640644375e-01
7.265783937228977862e-01 2.193264892170849242e-03 2.443368234184292387e+00 1.645953950703256952e-01
7.269158290799996314e-01 2.194379442950282564e-03 2.469846181764509208e+00 1.644653001982373519e-01
7.267663905177301764e-01 2.200938393719205615e-03 2.462598781790850122e+00 1.646804267348300210e-01
7.265459790190067491e-01 2.206589875364839762e-03 2.514033696046888977e+00 1.639611111753705996e-01
7.258925432298487523e-01 2.201362371586824355e-03 2.458489691753598549e+00 1.640501851945969647e-01
7.255963904564330935e-01 2.196395966181252483e-03 2.449048739287602139e+00 1.632883360219448687e-01
7.278803327782400467e-01 2.194749415482654103e-03 2.542762772674378002e+00 1.613500720185215287e-01
7.277331367754223956e-01 2.137167740839658863e-03 2.534009516680556739e+00 1.525765963028391237e-01
7.279611165603366851e-01 2.097528547269250296e-03 2.554488900372521964e+00 1.483537751529582782e-01
7.274822939986386183e-01 2.102005096195856942e-03 2.500021249680992153e+00 1.484059297538091182e-01
7.271608226837613653e-01 2.135950538917619473e-03 2.487507700524882015e+00 1.534031415368479201e-01
7.279065640693281880e-01 2.141072709726791600e-03 2.494627741935170118e+00 1.534164305020649655e-01
7.274053643942484104e-01 2.143144639692449224e-03 2.427971272817798454e+00 1.551273357534955766e-01
7.267502712806888088e-01 2.094972898869134140e-03 2.408910054204157269e+00 1.520147654814996419e-01
7.268204803195000840e-01 2.110991282926156891e-03 2.423111640608672790e+00 1.538243412126346354e-01
7.261261098929548963e-01 2.105192174657065374e-03 2.392833728116031899e+00 1.508438540171641584e-01
7.264383335083660631e-01 2.169006340635123205e-03 2.415710952931256372e+00 1.598741238634414918e-01
7.256708160535605412e-01 2.194270046037536965e-03 2.364585687211625764e+00 1.634092525764297144e-01
7.264218639360100482e-01 2.203944043236232518e-03 2.425017829191373764e+00 1.645598817607632491e-01
7.262418096954877944e-01 2.192860339118094751e-03 2.412548374920960637e+00 1.634683495629891403e-01
7.263571016037001504e-01 2.198383505486288178e-03 2.422981227139930915e+00 1.646153452865129208e-01
7.266180283101195680e-01 2.211925808339342079e-03 2.478105863969324751e+00 1.649615482732126048e-01
7.257586334461243460e-01 2.203681047692834793e-03 2.457543530786261865e+00 1.641699646448128991e-01
7.258385248573123727e-01 2.211041008853186808e-03 2.458089678033534398e+00 1.648274521321204111e-01
7.257930574908045829e-01 2.199076079888304634e-03 2.448502675627773240e+00 1.638669326815946903e-01
7.276507249503447738e-01 2.199502971132505022e-03 2.525291002791727468e+00 1.624493843200771337e-01
7.277311320350758894e-01 2.144477835538210336e-03 2.527625719894994294e+00 1.530685702645522006e-01
7.280340654396014743e-01 2.118544756332643633e-03 2.560311561899528243e+00 1.496608207102893828e-01
7.276929925774060504e-01 2.118478252328471947e-03 2.523849760014734933e+00 1.503609538169004001e-01
7.272726962671539619e-01 2.119706407217575479e-03 2.475967677628419406e+00 1.510015265061706302e-01
7.269995097846635446e-01 2.149222612258150540e-03 2.449218678501976498e+00 1.546649823511429545e-01
7.270349222715699611e-01 2.140926451672058722e-03 2.430209979412790933e+00 1.537587217036304188e-01
7.264526529212106398e-01 2.145015430151522157e-03 2.401832384014557231e+00 1.547758459117329899e-01
7.261239981936365995e-01 2.144190388022847171e-03 2.367473756627000547e+00 1.585688173810886059e-01
7.264582950711078180e-01 2.114732747843686526e-03 2.396956915083578110e+00 1.540418236881230807e-01
7.270029205586608922e-01 2.128901529620860940e-03 2.432482565336558267e+00 1.555260270565194947e-01
7.263757383755737873e-01 2.117620741936913128e-03 2.405583580117786724e+00 1.530456973496805428e-01
7.265658089007707154e-01 2.169959797781731252e-03 2.389459045745199628e+00 1.611488778306413294e-01
7.261314080873111365e-01 2.199189540098359964e-03 2.379252592022404134e+00 1.641041972900012247e-01
7.258944703659175879e-01 2.204778710807813336e-03 2.375867229371579459e+00 1.643403712607585943e-01
7.263172066370116031e-01 2.208421414641090035e-03 2.420565868257931630e+00 1.641910586547840889e-01
7.261840154541668868e-01 2.212102517612735738e-03 2.414717629840242186e+00 1.641092244211314055e-01
7.260797218059233948e-01 2.215017796669309195e-03 2.409493896288635195e+00 1.646776590475965973e-01
7.254863732574182711e-01 2.207507463438929639e-03 2.381951482173426449e+00 1.642995628862938817e-01
7.259540317784695107e-01 2.213418145724545694e-03 2.471191182104550244e+00 1.647146259167706350e-01
7.256938461207734781e-01 2.215178642223442334e-03 2.459123511587319122e+00 1.651334533420494022e-01
7.264901811723374347e-01 2.221192267843396639e-03 2.507826179187497839e+00 1.668105937318511978e-01
7.266067365875976680e-01 2.208518436582655904e-03 2.485161529062919872e+00 1.645847329984880814e-01
7.269945753806051902e-01 2.191742768798009191e-03 2.496251604013052461e+00 1.621924534257113970e-01
7.277529290841802112e-01 2.153477196926088712e-03 2.524956804283615242e+00 1.544000654634606895e-01
7.285077627542547729e-01 2.129244165909170271e-03 2.568155578847318932e+00 1.509935455880957178e-01
7.281240867288500951e-01 2.141305662405901429e-03 2.566188078088363689e+00 1.521318100167670107e-01
7.277013155800448052e-01 2.143353295810023363e-03 2.538614511481048108e+00 1.520145746856430002e-01
7.273547206317954039e-01 2.144044859913873512e-03 2.501963293376201047e+00 1.541362720628294269e-01
7.267357014406099491e-01 2.136167764774229635e-03 2.447906608510542981e+00 1.532324811776574203e-01
7.271431129665699711e-01 2.137182075052132101e-03 2.434869442298424058e+00 1.546684252460964470e-01
7.267554516745587945e-01 2.143201717151932851e-03 2.415475869642477402e+00 1.545513785948825214e-01
7.265314405335879799e-01 2.128765535593169118e-03 2.374780577262338266e+00 1.549787459248775923e-01
7.261853595232964365e-01 2.130219370613231546e-03 2.358155698139083434e+00 1.567522968755347967e-01
7.264286516649862691e-01 2.127769108788474597e-03 2.387389681962843735e+00 1.552258660300548099e-01
7.273998636713321364e-01 2.128462233538821764e-03 2.491713938942422768e+00 1.558110946314420764e-01
7.271762691421719271e-01 2.127469035450138806e-03 2.474850518196897831e+00 1.538972404822160356e-01
7.267644317460932868e-01 2.133924207785694183e-03 2.441023750262255376e+00 1.533947815353179367e-01
7.271893473663988416e-01 2.189857688987859301e-03 2.473073444774631202e+00 1.628948487463680594e-01
7.264291070315158638e-01 2.191651766399357795e-03 2.408005140767064844e+00 1.623039087260349789e-01
7.260206796085691971e-01 2.216551252269384834e-03 2.375525819281180340e+00 1.643997053158806065e-01
7.266846653263034916e-01 2.217537461992316258e-03 2.438493551697199724e+00 1.643793443942485333e-01
7.262287394875972524e-01 2.222208006704360847e-03 2.421528474489274441e+00 1.645268722283271534e-01
7.259130498447643465e-01 2.222897682313732144e-03 2.411855841066182116e+00 1.648449802598535852e-01
7.254351433837811225e-01 2.212529452921916957e-03 2.381101932049303205e+00 1.646118986566997011e-01
7.257726144148631819e-01 2.208595096020192061e-03 2.423442330037405057e+00 1.642688834137398246e-01
7.258713806084348130e-01 2.214169106538825711e-03 2.463485099145125812e+00 1.647746112182014167e-01
7.262777701932690011e-01 2.211027653458372873e-03 2.495372225686138368e+00 1.645742305828588603e-01
7.264752207840873277e-01 2.218478848501504157e-03 2.477999365840646284e+00 1.658321827479802002e-01
