# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.0
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.189628941341624779e-01 2.015493634929480665e-03 7.353486899186777448e-01 3.013698155875177767e-03 2.231117827231415163e+00 1.352892460330064328e-01 3.636206693686981684e+00 2.167942393994801153e-01
7.217120790407492992e-01 2.095241645620987952e-03 7.277707506582627994e-01 2.765544530036221933e-03 2.645665729382403963e+00 1.480319606290561585e-01 2.511103909219502217e+00 1.799159400583536517e-01
7.207196855850903638e-01 2.104434536956222186e-03 7.293443871951454938e-01 2.753820617062006666e-03 2.584623355910775633e+00 1.503148075890846369e-01 2.605792256037327892e+00 1.762367808141699632e-01
7.206016504050710703e-01 2.030802748235725937e-03 7.310205072949298444e-01 2.944536926331818311e-03 2.469473250890907856e+00 1.371353117622465534e-01 2.891084023171587969e+00 2.105746416319972392e-01
7.186152465406117074e-01 2.016105066626117191e-03 7.363305812791729466e-01 3.025072508472799633e-03 2.261368722117004459e+00 1.359461518903227473e-01 3.502232915165953919e+00 2.133692176871609947e-01
7.181470078794164325e-01 2.023762485819667178e-03 7.365011958167544392e-01 2.989586654829456958e-03 2.202217939448002149e+00 1.369488603336205534e-01 3.583756890705455334e+00 2.104092994270829742e-01
7.204129351007122484e-01 2.035817678400265313e-03 7.312482422149896300e-01 2.929186089463689784e-03 2.419365951971343076e+00 1.385893987159608765e-01 2.971180045025543670e+00 2.025976779691455454e-01
7.211399477097203414e-01 2.100055533682904270e-03 7.287479093882889281e-01 2.759628240906530482e-03 2.652507926382615011e+00 1.496455259968919593e-01 2.519320742442578087e+00 1.796685956371595616e-01
7.221099634408457701e-01 2.108532656153025778e-03 7.270151205001013084e-01 2.742076693193547677e-03 2.713753868447883910e+00 1.510825139205725920e-01 2.432608592248663104e+00 1.781603152512143684e-01
7.210085889329379549e-01 2.104712881248087426e-03 7.285990644653679293e-01 2.743670165565430859e-03 2.610873085148727846e+00 1.498707604880709365e-01 2.556224014176351922e+00 1.765989353603243661e-01
7.204357187680089369e-01 2.061199929711556977e-03 7.303129535903908343e-01 2.853540662748350019e-03 2.458284290469622935e+00 1.406976363148540743e-01 2.833446471284438495e+00 1.948857685469738699e-01
7.196184845803771379e-01 2.019421714913918840e-03 7.342408525974094546e-01 3.001741420722416585e-03 2.335363403117562076e+00 1.362492691867202843e-01 3.340690454135953225e+00 2.132970937923695798e-01
7.183305970665185836e-01 2.017152215328511453e-03 7.371962880262187268e-01 3.034078312148122836e-03 2.282123557873872777e+00 1.369765425379490809e-01 3.427787034075190586e+00 2.112769685472726533e-01
7.184479422574659990e-01 1.000000000000000000e+00 7.372730052975356996e-01 3.063675418661606330e-03 2.261611940773537555e+00 1.354100142788334238e-01 3.536107589835923992e+00 2.163923138858304951e-01
7.179888210800837722e-01 2.020720147743449140e-03 7.368503180004422060e-01 3.011360370522412049e-03 2.222024989996691513e+00 1.373934163103528450e-01 3.482471638161251271e+00 2.078063977441392818e-01
7.197288524518986597e-01 2.039339261169622643e-03 7.328866165714328362e-01 2.909978564503116691e-03 2.376666276030146907e+00 1.390183541596249905e-01 3.080615527365687889e+00 2.009920307281231333e-01
7.204106521701331145e-01 2.093120017335475466e-03 7.297988927685981064e-01 2.765381111077693833e-03 2.569101995191840349e+00 1.488898403503322865e-01 2.621072408209609517e+00 1.775861999927340895e-01
7.209635734773015558e-01 2.098434453692571509e-03 7.291187367023631571e-01 2.756418403443580689e-03 2.649017257700251093e+00 1.495242007857392752e-01 2.519396686714105993e+00 1.799875685529045699e-01
7.214840315127418746e-01 2.104238859996780415e-03 7.282774867835623001e-01 2.734303438610188527e-03 2.676520095312802106e+00 1.514236049098634518e-01 2.498087611222555182e+00 1.791970420993788671e-01
7.215410699546181972e-01 2.117498978748825686e-03 7.277931233541818923e-01 2.717191489315780480e-03 2.650856299367844393e+00 1.501221138123060017e-01 2.512822081194906687e+00 1.777437091251717338e-01
7.212800131412917537e-01 2.107917582310695273e-03 7.282133200863706302e-01 2.726293295688443207e-03 2.663474271583163411e+00 1.498180182623315981e-01 2.483157532735658535e+00 1.760699926889320865e-01
7.204112790886545437e-01 2.068007689131901895e-03 7.303058877665062898e-01 2.831870545194409370e-03 2.462867442883544644e+00 1.407807907901806321e-01 2.846849508837216991e+00 1.000000000000000000e+00
7.198215883942702398e-01 2.032425523900044471e-03 7.321238254643206433e-01 2.944656485957665958e-03 2.362808138785531309e+00 1.369544321210386106e-01 3.159438191713270783e+00 1.000000000000000000e+00
7.201452377223238610e-01 2.013679270546470199e-03 7.328841136955834834e-01 3.022953758755742362e-03 2.386084960392569343e+00 1.354879465518948056e-01 3.197495594758295478e+00 2.144929318423972331e-01
7.193142604327155132e-01 2.048175308196049146e-03 7.342751120137942511e-01 2.981070360274291030e-03 2.397244130488288771e+00 1.403873424794030988e-01 3.075066830099601578e+00 2.016399091717140657e-01
7.186741252444523997e-01 2.037219963475123304e-03 7.360938566551566975e-01 2.989311547658672456e-03 2.317042283360116528e+00 1.398070885563983956e-01 3.254662508793254361e+00 2.019983024107451786e-01
7.177788111484946221e-01 2.018575989852136772e-03 7.378576741689981677e-01 3.030136735229199251e-03 2.211409030745861148e+00 1.380223264368082570e-01 3.496748117709024495e+00 2.060451462655753518e-01
7.187446398454436780e-01 1.000000000000000000e+00 7.345137213195588322e-01 2.949744906820552046e-03 2.318510411614634226e+00 1.399668437568949153e-01 3.134012480014431112e+00 2.005190443672922873e-01
7.196281319731931969e-01 2.039503186153042436e-03 7.330153668724207483e-01 2.897182867572438252e-03 2.380642050026605450e+00 1.387378413146240774e-01 3.078619594083965794e+00 2.019872792299840514e-01
7.201507844822422344e-01 2.099229692461416531e-03 7.302936419936646439e-01 2.753767530611757938e-03 2.582957198079669503e+00 1.491692772728085981e-01 2.605554690103714321e+00 1.773586529990416327e-01
