# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.01
# 
#  h0 h0_err q0 q0_err
7.259734371583131951e-01 2.097080676370192357e-03 -9.820704830281932196e-01 1.474264034735692230e-01
7.289860852355155574e-01 2.187031538271734347e-03 -7.371861682067953891e-01 1.623749911919544486e-01
7.280971951607319026e-01 2.197989911086441553e-03 -8.234108463380171994e-01 1.646096778135352490e-01
7.281942300886704578e-01 2.113069646235193368e-03 -7.621784208486945822e-01 1.498185055222031048e-01
7.255780694674880404e-01 2.097369059090385766e-03 -9.662658010201773395e-01 1.481052254509206412e-01
7.251271270525949664e-01 2.106757941164642649e-03 -1.035865116785471329e+00 1.506628849643371348e-01
7.276539258016194722e-01 2.122924996590723565e-03 -8.462568047322411857e-01 1.515471384626519979e-01
7.285048065820015628e-01 2.192972190606080028e-03 -7.639239751702469050e-01 1.641324924199197011e-01
7.297033932067765738e-01 2.206632840766222740e-03 -6.866918079787868168e-01 1.647038405002833605e-01
7.284097318054719716e-01 2.197990882507460698e-03 -7.911612825294727092e-01 1.640944275540983932e-01
7.275778802925767508e-01 2.149976271197906203e-03 -7.931503920511555616e-01 1.539234390866701940e-01
7.267307694034760290e-01 2.099359752023451618e-03 -8.974962659051335390e-01 1.485180589256127615e-01
7.254341292287124210e-01 2.098343343176693136e-03 -9.652603013216072281e-01 1.492375899963810093e-01
7.253652828382002316e-01 2.085080145730822381e-03 -9.749389696734778177e-01 1.474802138631226278e-01
7.249610110120962014e-01 2.103371891268382161e-03 -1.031045932141314569e+00 1.512131673455497094e-01
7.269504269985893607e-01 2.126463120496658536e-03 -8.882143367953431179e-01 1.518861653994580119e-01
7.275957663987617785e-01 2.184632636378305674e-03 -8.479454441832532385e-01 1.630722227112827716e-01
7.283419502526770062e-01 2.193963376042604770e-03 -7.701769381994989505e-01 1.640358048294249527e-01
7.289791677185065710e-01 2.199746410562438033e-03 -7.317100532673700419e-01 1.640928392210301845e-01
7.291791123587615386e-01 2.218689677664501588e-03 -7.337242292522893061e-01 1.648171270464935390e-01
7.286759643016307297e-01 2.207483295363678495e-03 -7.367542401757826154e-01 1.642314967239648094e-01
7.276241750517322693e-01 2.157477565595616441e-03 -7.809426127313716659e-01 1.540657249725185252e-01
7.273304020608255538e-01 2.111051800994062817e-03 -8.598769103121962631e-01 1.493552344406254284e-01
7.272790072771980752e-01 2.093193124479017942e-03 -8.468318842739711583e-01 1.478182414561118041e-01
7.265528983951365927e-01 2.132107417325365510e-03 -8.733176918937874955e-01 1.531425051599200893e-01
7.256238175378825206e-01 2.117980184951529996e-03 -9.637121910561710081e-01 1.522567747746603195e-01
7.246731640263822660e-01 2.099014333060218902e-03 -1.064945326725000418e+00 1.518045398368450538e-01
7.258039719216466956e-01 2.122348286125569448e-03 -9.750795037158437317e-01 1.526502298357352572e-01
7.269515318906800694e-01 2.125812435406870208e-03 -8.800228346339281638e-01 1.515733357576011797e-01
7.280055175674202683e-01 2.190264791771681565e-03 -8.276423427852980241e-01 1.631687865533535675e-01
7.279330563492405481e-01 2.198483235094325292e-03 -8.342336807571337776e-01 1.645850596251924314e-01
7.285127713826429208e-01 2.199575524098822555e-03 -7.756184960726978384e-01 1.644566014736245640e-01
7.287310030659803761e-01 2.206135148140457927e-03 -7.608912427545806434e-01 1.646642807821136201e-01
7.285757765061515734e-01 2.211680932326755451e-03 -7.621563103071062883e-01 1.639402036089230852e-01
7.286892032890569526e-01 2.205914690382710860e-03 -7.756387016492491959e-01 1.640165480358242167e-01
7.285562157345600864e-01 2.200962496189734149e-03 -7.599021889903865290e-01 1.632606084614348363e-01
7.277362083881787624e-01 2.199239498261995433e-03 -8.023601007567262577e-01 1.613170674246656722e-01
7.283238798065307940e-01 2.141500441196050354e-03 -7.292695301718005174e-01 1.525582411843548203e-01
7.272208206922301521e-01 2.101670172693428061e-03 -8.517708698716386362e-01 1.483354539553346785e-01
7.274207354640473966e-01 2.106056831335328949e-03 -8.203037441218565817e-01 1.483932580619173880e-01
7.266668982695939638e-01 2.139884180177128309e-03 -8.602598528606121286e-01 1.533815609732124829e-01
7.267969820135810055e-01 2.144892072224824451e-03 -8.532896697953483711e-01 1.533918211892789651e-01
7.262911512618210885e-01 2.147276409853224755e-03 -9.159053283044201743e-01 1.551091325379349295e-01
7.243348051930931231e-01 2.099263568192094587e-03 -1.080403440433225670e+00 1.520013640147101774e-01
7.253648057688318884e-01 2.115396644364207681e-03 -9.986086238342692933e-01 1.523662935884435854e-01
7.265318824354282112e-01 2.109538889549677186e-03 -8.992686237704086150e-01 1.508384086432036919e-01
7.267288874652825248e-01 2.173826503809737649e-03 -9.725433367920371941e-01 1.598606956783723831e-01
7.281709759812904359e-01 2.199551657411417081e-03 -8.331475084367934159e-01 1.634042324396503543e-01
7.283681430326303108e-01 2.209436008786279382e-03 -7.740902851735761425e-01 1.645506643792000179e-01
7.288430395117394545e-01 2.198310285405238266e-03 -7.339367963283722762e-01 1.634613628963003107e-01
7.287508094063632758e-01 2.203756528868539531e-03 -7.624764245334585411e-01 1.646073059237035396e-01
7.289227440218444265e-01 2.217462820326597354e-03 -7.404050823631601608e-01 1.649555597551521646e-01
7.288818936456034070e-01 2.208705624135168504e-03 -7.474383391024056467e-01 1.641461287899944332e-01
7.291067707940642739e-01 2.215683894645564204e-03 -7.438134567237515427e-01 1.647932329474521562e-01
7.284709060098595312e-01 2.203619543062550201e-03 -7.702564240196873024e-01 1.638354443095595969e-01
7.281724701222987983e-01 2.204022814653198558e-03 -7.583561849370145103e-01 1.624185090038456347e-01
7.278609713829522487e-01 2.148919853737646119e-03 -7.512439086241301522e-01 1.530511810607834977e-01
7.271096183628549259e-01 2.122790754336088218e-03 -8.531957974477719642e-01 1.496404239034596073e-01
7.281494538907151703e-01 2.122447601500813963e-03 -7.698434553106253686e-01 1.503381805289338013e-01
7.271575157096147324e-01 2.123719231238521861e-03 -8.208721456058210020e-01 1.509830932248235891e-01
7.270588939816851060e-01 2.153109406245762997e-03 -8.290333994988569044e-01 1.546409405622869992e-01
7.266280050383625566e-01 2.144803591267680463e-03 -8.738513445460756035e-01 1.537335077655389015e-01
7.269622175651727636e-01 2.148875959028092360e-03 -8.581672549510480641e-01 1.547508973538150867e-01
7.254899316957013067e-01 2.148102032759777787e-03 -9.772458716460069583e-01 1.566503214773886099e-01
7.246590375513515259e-01 2.119169214525966610e-03 -1.067376164269684624e+00 1.539961576990556136e-01
7.248473891596544094e-01 2.133403341871680133e-03 -1.016812599673479367e+00 1.539505534821401234e-01
7.261207209147061414e-01 2.122329185069982398e-03 -9.301390312706372399e-01 1.530424282401481040e-01
7.259705513704894919e-01 2.174947888741684404e-03 -1.005423807598799790e+00 1.596140962443993172e-01
7.279521574043964494e-01 2.204439708322783551e-03 -8.431278066470176968e-01 1.640939346987108638e-01
7.283716310563331797e-01 2.210440472208746211e-03 -8.135939323973994108e-01 1.643379736266598889e-01
7.293709513317032656e-01 2.214123658970574421e-03 -7.153336069116853491e-01 1.641853410060303831e-01
7.296327244829208247e-01 2.217738955750160786e-03 -7.007712868993314359e-01 1.641026638514598568e-01
7.290199450457546249e-01 2.220652417474396241e-03 -7.307149543298855354e-01 1.646704774835042739e-01
7.292987918996016727e-01 2.213111842967818623e-03 -6.944230015812036250e-01 1.642954510072291430e-01
7.285608959035879684e-01 2.218847401709069141e-03 -7.632709678900182482e-01 1.647031444625186580e-01
7.289182428159618476e-01 2.220221634836277384e-03 -7.422431911902166446e-01 1.651092240645041787e-01
7.293053182871070961e-01 2.225783502335257867e-03 -7.086904882849787146e-01 1.667693384092594489e-01
7.281409525531782334e-01 2.213228440078467401e-03 -7.828423857666170216e-01 1.645545328333526958e-01
7.282356504018058230e-01 2.196241130090734878e-03 -7.593300268976748146e-01 1.621620435628021994e-01
7.281041136662624869e-01 2.157854988484763075e-03 -7.403168316454931119e-01 1.543755859144222420e-01
7.265908228197385244e-01 2.133771105241603211e-03 -8.739070162614146486e-01 1.509783561101414040e-01
7.276390877051875927e-01 2.145489542188422187e-03 -7.899772258048587403e-01 1.521095086008459607e-01
7.283184131612814305e-01 2.147424959502822021e-03 -7.617299610764683981e-01 1.519954849646617256e-01
7.270603470953312941e-01 2.148195319904699831e-03 -8.265032781704004794e-01 1.541159868878021200e-01
7.266653837616053879e-01 2.140172938345345516e-03 -8.334201720223144427e-01 1.532144539288926299e-01
7.269485995402291678e-01 2.140935057440551507e-03 -8.397476291881135202e-01 1.546421210696737325e-01
7.266068701314685185e-01 2.146990032288336597e-03 -8.776398471141205748e-01 1.545240950280212522e-01
7.267081080689417050e-01 2.132740616417912963e-03 -8.849149082944798295e-01 1.549570173339652190e-01
