#[SH0ES_CALIB][HEALPIX] This is the data for ISO distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.678
# 
# delta_h0_iso_max           delta_q0_iso_max
1.127929687499995559e-02 8.475585937500009770e-01
1.141601562499994227e-02 6.275390625000007994e-01
1.907226562499997335e-02 1.497949218750000977e+00
8.886718749999911182e-03 5.735351562500001776e-01
9.638671874999893419e-03 6.460937500000003553e-01
9.536132812499875655e-03 1.155371093750000799e+00
1.247558593749986677e-02 8.942382812500011546e-01
9.194335937499964473e-03 6.826171875000008882e-01
1.148437499999999112e-02 6.323242187500004441e-01
1.408203124999996003e-02 1.090234375000000977e+00
1.189453125000006217e-02 1.150781250000000977e+00
1.083496093750002665e-02 8.046875000000008882e-01
1.339843749999980460e-02 1.134570312500001066e+00
7.246093749999849010e-03 6.736328125000010658e-01
1.644042968750003553e-02 1.120703125000001688e+00
1.397949218749983125e-02 9.983398437500006217e-01
9.775390624999991118e-03 1.156835937500001243e+00
1.257812499999999556e-02 1.001562500000001243e+00
9.365234374999920064e-03 9.702148437500013323e-01
1.209960937499987566e-02 7.877929687500007105e-01
7.827148437499875655e-03 5.656250000000007105e-01
1.066406250000007105e-02 8.550781249999999112e-01
1.312500000000005329e-02 8.982421875000006217e-01
1.148437499999999112e-02 9.461914062500009770e-01
1.186035156249998224e-02 9.168945312500000888e-01
8.818359374999751310e-03 6.807617187500007994e-01
1.541503906249985789e-02 1.158691406250000444e+00
1.086914062499988454e-02 1.105468750000000888e+00
1.370605468749985789e-02 1.218652343750000977e+00
1.315917968749980016e-02 1.012207031250000888e+00
7.451171874999995559e-03 6.394531250000010658e-01
8.886718749999800160e-03 7.241210937500008882e-01
8.715820312499844569e-03 5.848632812500005329e-01
7.792968749999906741e-03 6.513671875000004441e-01
1.148437499999999112e-02 1.065917968750000888e+00
8.818359374999862332e-03 9.082031250000004441e-01
1.035644531249990674e-02 9.329101562500006217e-01
1.230468749999991118e-02 7.941406250000002665e-01
1.021972656249992006e-02 8.319335937500009770e-01
1.066406249999996003e-02 1.202148437500000888e+00
1.527832031249998224e-02 1.146386718750001421e+00
1.066406250000007105e-02 8.666992187500008882e-01
1.073242187499989786e-02 9.023437500000004441e-01
1.466308593749998668e-02 1.249316406250001066e+00
9.501953124999906741e-03 1.009179687500001421e+00
1.080078124999994671e-02 9.998046875000010658e-01
1.069824218749992895e-02 1.012207031250000888e+00
1.121093750000001776e-02 9.419921875000012434e-01
1.059570312500013323e-02 9.442382812500009770e-01
9.057617187499977796e-03 5.844726562500004441e-01
1.736328124999986233e-02 1.110546875000001155e+00
1.025390625000000000e-02 6.693359375000014211e-01
1.213378906249995559e-02 9.127929687500007105e-01
1.196289062499988898e-02 7.636718750000017764e-01
1.490234374999988010e-02 1.199218750000000888e+00
9.331054687499840128e-03 9.612304687500006217e-01
7.827148437499875655e-03 8.211914062500005329e-01
1.066406250000007105e-02 1.000488281250000888e+00
8.203124999999866773e-03 8.109375000000009770e-01
1.770507812500010658e-02 1.189648437500001599e+00
8.237304687499946709e-03 8.105468750000004441e-01
8.886718749999800160e-03 9.059570312500011546e-01
9.980468749999915623e-03 7.132812500000005329e-01
1.585937500000000888e-02 1.052148437500000533e+00
1.018554687499995115e-02 6.358398437500007994e-01
1.008300781249993339e-02 8.591796875000010658e-01
1.541503906249996891e-02 1.180175781250001332e+00
1.145019531250002220e-02 8.698242187500007105e-01
1.045898437500003553e-02 7.451171875000008882e-01
1.052734375000008438e-02 8.910156250000009770e-01
9.467773437499937828e-03 7.041015625000008882e-01
8.955078124999849010e-03 7.985351562500011546e-01
7.724609374999968914e-03 6.189453125000006217e-01
1.083496093749991562e-02 1.130273437500000533e+00
1.073242187499989786e-02 6.903320312500005329e-01
1.039062499999987566e-02 7.542968750000009770e-01
9.023437499999786837e-03 8.568359375000009770e-01
1.086914062499999556e-02 9.647460937500005329e-01
1.189453124999984013e-02 8.732421875000007105e-01
1.004882812499985345e-02 7.446289062500008882e-01
9.570312499999844569e-03 1.086816406250000977e+00
8.784179687499782396e-03 6.830078125000009770e-01
8.442382812499871214e-03 5.657226562499997335e-01
1.227050781249994227e-02 7.897460937500007105e-01
6.972656249999986677e-03 4.807617187499997335e-01
7.314453125000008882e-03 7.186523437500009770e-01
1.042480468749995559e-02 9.632812500000005329e-01
1.086914062500010658e-02 9.742187500000016875e-01
9.570312499999844569e-03 7.835937500000005329e-01
9.160156249999884537e-03 5.945312500000001776e-01
9.946289062499946709e-03 8.588867187500008882e-01
9.775390624999880096e-03 8.372070312500006217e-01
1.606445312500004441e-02 1.090527343750001155e+00
1.380859374999998668e-02 9.385742187500012434e-01
1.045898437500003553e-02 7.754882812500003553e-01
1.025390625000000000e-02 7.166992187500009770e-01
1.374023437499982681e-02 1.073339843750000799e+00
1.004882812499996447e-02 9.441406250000006217e-01
9.365234374999809042e-03 6.973632812500007994e-01
1.247558593749986677e-02 7.454101562499997335e-01
9.741210937500022204e-03 7.018554687500011546e-01
1.004882812499996447e-02 1.134863281250001243e+00
1.370605468749996891e-02 1.023339843750000533e+00
1.039062500000009770e-02 6.946289062500010658e-01
1.244140624999989786e-02 1.062597656250000799e+00
1.654296874999994227e-02 1.083984375000001332e+00
1.168945312499991562e-02 8.862304687500008882e-01
1.213378906249995559e-02 1.096191406250001776e+00
