# [SH0ES_CALIB][HEALPIX] This is the data for ISO distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_iso_max           delta_q0_iso_max
1.145075279999652196e-02 7.009954471638617512e-01
9.682935182386720463e-03 8.489853151120529962e-01
8.280718984032708896e-03 6.899313997381877339e-01
1.011505979690963120e-02 9.842987995405940715e-01
8.415670194485302957e-03 6.626561365050132046e-01
1.245865595081907529e-02 8.606093524650855198e-01
1.109571367904571559e-02 7.501554867718638331e-01
1.301714640295292824e-02 9.309015217618799021e-01
1.073083618339010226e-02 9.273466727633042916e-01
7.777193318162511915e-03 6.278864345269126179e-01
1.457784321713773146e-02 1.152980774350002235e+00
9.746030063056965176e-03 9.929749476729511359e-01
1.095323656308688776e-02 8.806143517444792179e-01
1.151171357884372970e-02 8.052655789056245572e-01
9.148306551223450711e-03 7.288328954852595354e-01
1.083551570498930694e-02 9.992596908893505159e-01
1.206344908688128381e-02 9.650203437196993583e-01
1.244547649479399443e-02 9.281956377791932278e-01
1.423888311760279635e-02 1.145150128955141122e+00
9.205262463821362040e-03 7.198318348297207958e-01
1.020814238893641424e-02 7.266909407854071912e-01
1.335439081405920270e-02 1.164755923005198701e+00
8.662382932337342467e-03 6.872834626077315434e-01
9.617150362653759110e-03 6.857622840149167898e-01
8.085110588266108955e-03 7.041015987364953599e-01
1.229411562936633118e-02 9.168521344453446353e-01
1.154570677172528370e-02 9.006211410137472395e-01
1.022644757119950398e-02 8.696630107838757562e-01
1.092702517434818166e-02 8.142616060160337010e-01
1.042083711485475295e-02 6.773402266145749362e-01
1.017353728049652517e-02 8.910215135994705715e-01
1.008106192659630196e-02 6.090556260787837184e-01
8.042626564840005265e-03 6.740468935502827996e-01
1.262047020100032224e-02 7.493496290003747173e-01
9.909032840964226985e-03 8.031371811834138175e-01
7.192005222615649451e-03 5.818993072532109290e-01
1.103632386978947721e-02 7.320323033379383393e-01
1.333269887127908060e-02 9.279037114374770745e-01
1.601417416768646795e-02 1.104838532413052743e+00
8.074806526361721914e-03 8.295437558204854511e-01
1.526812687658452017e-02 1.039949022082042207e+00
9.527089894203810694e-03 6.790763382649669389e-01
9.551240214020317865e-03 5.359081624138504196e-01
9.690542257499323853e-03 8.158197795565735877e-01
1.223313016433014155e-02 8.561920880101008269e-01
7.676204639299299970e-03 5.188002699467100243e-01
9.738710792806082317e-03 7.063471552989268876e-01
1.291300890774338406e-02 1.016016741389171862e+00
1.226318020602379377e-02 7.786266767561460522e-01
1.041641840815765718e-02 6.833185442599984949e-01
1.071972023037937038e-02 7.983299123864806557e-01
1.064394877401175776e-02 1.045896354098384773e+00
9.165422800401334946e-03 7.435691497993318633e-01
8.138996740742254765e-03 6.117004159670973440e-01
1.143546508427983888e-02 8.902410257907867885e-01
8.283620119305057372e-03 6.701971577249169476e-01
8.594798415078708231e-03 7.011433007786095351e-01
1.031141407994928816e-02 6.911162328554812939e-01
1.396781489977139135e-02 9.299385900971777197e-01
1.033030734213580271e-02 7.110116341002026275e-01
1.214602976474321583e-02 1.258327548899944137e+00
1.088613910408853247e-02 5.691748635082615193e-01
1.126311348949127211e-02 6.583600281845428670e-01
9.468790743485611117e-03 6.254188857746584285e-01
1.067941303497366157e-02 9.304335887751249423e-01
9.806955237046888207e-03 8.207548988353083885e-01
9.842394762550221721e-03 6.983937156790869238e-01
8.123618544044863832e-03 6.326538058434170164e-01
8.530801214169825286e-03 6.467347206659928016e-01
8.470807714182404524e-03 8.987183539701368851e-01
1.250398123080875834e-02 1.172721522988005471e+00
1.194125590640315870e-02 1.052848537067640144e+00
1.271680961940602206e-02 9.498956103797457917e-01
1.064306065331710460e-02 7.854343209055261177e-01
9.418042863310827073e-03 7.892960956343635370e-01
1.121736900213643473e-02 7.566782086744436864e-01
1.145049897012184736e-02 7.542110021905901185e-01
9.060620596908819380e-03 6.848112456514752200e-01
8.021499842197354901e-03 6.487089123333535934e-01
1.390157508382994234e-02 9.952739256626069730e-01
1.011396338763215219e-02 9.515894059086789092e-01
1.022800107108223777e-02 8.856305833315092357e-01
9.292015666147457331e-03 6.912627725873945472e-01
1.550012094287733788e-02 1.348836938469654356e+00
1.623422803519736224e-02 1.114527507856693855e+00
1.219557219957945193e-02 1.019707984256887023e+00
1.178974955171174788e-02 9.072226924452396757e-01
9.763180659788872617e-03 7.310285172454233926e-01
8.860817819967947706e-03 7.580987498255540302e-01
1.212183361311813812e-02 7.068586246732317946e-01
8.507309595812584391e-03 6.052860067652328091e-01
1.190161709759929298e-02 9.336335510458875220e-01
1.278940557500418684e-02 1.080443025704843851e+00
1.161070793508078847e-02 1.124734597041314288e+00
9.389731966890302317e-03 7.500726924441409871e-01
8.521995817227234760e-03 6.597488201699236443e-01
1.413967313873309983e-02 1.076984288088007391e+00
7.698330136425846071e-03 5.698969080385596353e-01
1.380011521210677827e-02 9.692895589934950040e-01
9.928725455938480771e-03 1.035704168906418587e+00
1.507428809923883062e-02 1.159595026784272731e+00
6.950052232072900793e-03 7.371023179375205681e-01
8.340998034296331909e-03 6.091137121290013390e-01
7.482338879595928915e-03 6.240110435959447255e-01
1.190031288307391577e-02 8.183612009816408905e-01
8.900443644213273942e-03 7.252922214571280168e-01
1.303281595784155922e-02 1.064752959663711973e+00
1.181167723754694698e-02 8.235528607385289579e-01
1.167739736491701930e-02 9.220768929343124976e-01
8.275433710723922864e-03 6.347009773302569879e-01
7.263651984543151308e-03 6.929519207650911561e-01
1.151779496987248574e-02 9.362043940753068672e-01
1.260544997874535333e-02 8.144208127920830043e-01
1.003241075879557354e-02 6.057434396672050081e-01
1.108649742401057736e-02 8.024566468365353922e-01
9.984830047777504269e-03 8.104211891295738379e-01
8.838958547636832641e-03 7.789568363507799464e-01
9.602792860751274695e-03 7.704841050739728026e-01
1.287241075813794211e-02 1.123075873807976244e+00
1.454137430863722269e-02 9.603518718872102733e-01
1.113235674872747882e-02 8.337724360581213467e-01
8.437110391336766213e-03 6.135297988124934765e-01
1.248663366653879336e-02 8.656864148077959564e-01
1.014996887597907627e-02 8.527708046100918038e-01
6.820569102247153737e-03 5.741099114135713721e-01
1.044100188388308315e-02 7.029287389357055105e-01
1.044960833345220941e-02 7.415293636823068191e-01
1.108925017002349023e-02 8.473685590346626828e-01
8.638379327587264456e-03 7.170884678629836362e-01
1.474337590900010042e-02 9.845293727039539089e-01
7.944329025572960390e-03 6.073276502240325669e-01
1.358020721292452215e-02 8.587424696953299685e-01
1.264198207799460683e-02 8.315944687249909872e-01
1.296109755251362294e-02 9.179100273754968731e-01
8.055023478405254345e-03 5.829966370207768644e-01
2.004891669858777092e-02 1.285155679426612352e+00
9.039768772382106299e-03 8.785657286072011685e-01
1.045410657302192625e-02 8.703743164905974883e-01
1.403075225291394723e-02 1.143733478921299840e+00
1.087184633832249947e-02 9.129132568647249091e-01
1.138098095126327536e-02 7.779929200446606963e-01
9.234823390887880734e-03 8.162542644958421523e-01
1.044845227034252311e-02 5.552977098264746392e-01
1.103760689722677046e-02 9.072850795727404050e-01
1.159870459643697060e-02 7.542696961680102063e-01
6.995435452057940928e-03 6.257950041982378586e-01
1.561630164133009924e-02 1.413472226445927404e+00
1.007035439369752261e-02 6.798634536296885855e-01
1.011996145471305564e-02 9.610692842197945396e-01
1.009233204706383447e-02 8.974520309698583720e-01
1.030220356756617051e-02 6.383968272119774356e-01
1.376668424361449095e-02 1.028149149509784532e+00
8.578832579861916940e-03 6.090003092784829208e-01
