#[SH0ES_CALIB][HEALPIX] This is the data for LCDM distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.585937499999989786e-02 1.211328125000001643e+00
1.907226562499997335e-02 1.386230468750002665e+00
2.050781249999988898e-02 1.299023437500002265e+00
1.141601562499994227e-02 9.455078125000018208e-01
1.644042968750003553e-02 1.478710937500002931e+00
1.520996093749982236e-02 1.357226562500002398e+00
1.715820312500004885e-02 1.322753906250001776e+00
1.298828125000006661e-02 1.085449218750001776e+00
1.415039062500000888e-02 1.076660156250001554e+00
1.558593750000003553e-02 1.192773437500001643e+00
2.235351562499998668e-02 1.457128906250002132e+00
1.955078124999998224e-02 1.197851562500002132e+00
1.486816406250002220e-02 1.036718750000002132e+00
1.787597656249995115e-02 1.307324218750002487e+00
1.093749999999993339e-02 7.392578125000009992e-01
1.955078124999987121e-02 1.391699218750002576e+00
1.982421874999995559e-02 1.588281250000002975e+00
1.326171874999992895e-02 1.316406250000002220e+00
1.271484374999987121e-02 9.414062500000015543e-01
1.931152343749997780e-02 1.380273437500002531e+00
1.920898437500007105e-02 1.311230468750002043e+00
1.326171875000015099e-02 8.328125000000015099e-01
1.801269531250004885e-02 1.489257812500002442e+00
1.401367187500013323e-02 1.077246093750002132e+00
1.534667968749980904e-02 9.749023437500021760e-01
1.507324218750005773e-02 9.576171875000009104e-01
1.801269531249993783e-02 1.082812500000001510e+00
1.319335937499988010e-02 1.246777343750001821e+00
1.274902343749984013e-02 1.108593750000002043e+00
1.315917968750002220e-02 9.623046875000018652e-01
1.507324218749994671e-02 1.349316406250002265e+00
1.968749999999985789e-02 1.360156250000002842e+00
1.380859374999987566e-02 1.022460937500001554e+00
1.322753906249984901e-02 1.264648437500001998e+00
1.415039062500000888e-02 1.186425781250001865e+00
1.479980468749997335e-02 1.126855468750001643e+00
2.296874999999998224e-02 1.517773437500002487e+00
1.220214843749989342e-02 9.758789062500018430e-01
1.510742187499991562e-02 1.599609375000002887e+00
2.160156249999989342e-02 1.205664062500001910e+00
2.057617187499993783e-02 1.666210937500002487e+00
1.562011718749989342e-02 1.015625000000001332e+00
1.411621093749992895e-02 1.233496093750002132e+00
1.544921874999993783e-02 7.141601562500010658e-01
1.996093749999994227e-02 1.553027343750001954e+00
2.365234375000013767e-02 1.848632812500002665e+00
1.476562499999989342e-02 1.217578125000002176e+00
1.603027343749985345e-02 1.123828125000001954e+00
1.637207031249998668e-02 1.435839843750002398e+00
1.804687500000001776e-02 1.470898437500002265e+00
1.866210937500001332e-02 1.175097656250002398e+00
1.606445312500004441e-02 1.204296875000002265e+00
1.596191406249991562e-02 1.110742187500001865e+00
1.572265625000002220e-02 1.111621093750001510e+00
1.158691406250000888e-02 7.287109375000012657e-01
1.476562499999989342e-02 1.312890625000001643e+00
2.659179687499990674e-02 1.866699218750002887e+00
1.244140624999989786e-02 1.084960937500001776e+00
1.531250000000006217e-02 1.236425781250001688e+00
1.367187499999988898e-02 7.223632812500013767e-01
9.775390624999880096e-03 7.409179687500013767e-01
1.127929687499995559e-02 8.988281250000016431e-01
1.937988281249991562e-02 1.416308593750001954e+00
1.469726562499995559e-02 1.239746093750001776e+00
1.797851562500007994e-02 1.184277343750001599e+00
2.249023437500008438e-02 1.452343750000002043e+00
1.729492187500003553e-02 1.137792968750001910e+00
1.261230468749996447e-02 9.810546875000016875e-01
2.023437499999991562e-02 1.300781250000001776e+00
1.363769531249992006e-02 1.021582031250001465e+00
1.534667968750003109e-02 1.044531250000001243e+00
2.659179687500001776e-02 1.774804687500003197e+00
1.244140625000000888e-02 9.902343750000014433e-01
1.784179687500009326e-02 1.270410156250001865e+00
1.497070312499992895e-02 9.846679687500016209e-01
1.418457031249997780e-02 1.332324218750002176e+00
1.473144531249992450e-02 1.188476562500001554e+00
1.681640624999980460e-02 1.053515625000001288e+00
1.199707031249996891e-02 9.431640625000013989e-01
1.032226562500004885e-02 8.585937500000015987e-01
1.473144531249992450e-02 1.200292968750001910e+00
1.097167968750001332e-02 8.230468750000016209e-01
1.466308593749998668e-02 1.061914062500001421e+00
2.037109375000012434e-02 1.557519531250001865e+00
1.380859374999987566e-02 1.028515625000001599e+00
1.876464843749992006e-02 1.402734375000002087e+00
1.086914062499988454e-02 9.231445312500016209e-01
1.630371093749993783e-02 1.337011718750001910e+00
1.777343750000004441e-02 1.167089843750001910e+00
1.623535156250000000e-02 1.097656250000001998e+00
1.544921875000004885e-02 1.314941406250000888e+00
2.020019531250005773e-02 1.560156250000002132e+00
9.501953124999906741e-03 1.358300781250002309e+00
1.497070312499992895e-02 1.280175781250002087e+00
1.756835937499989786e-02 1.413378906250002398e+00
1.490234374999999112e-02 1.312109375000001910e+00
2.266113281249992895e-02 1.626953125000002665e+00
1.288574218749993783e-02 8.874023437500013767e-01
1.685058593749988454e-02 1.013671875000001998e+00
2.337890625000005329e-02 1.989843750000002798e+00
1.387695312500003553e-02 1.150195312500001732e+00
1.404785156249988010e-02 1.090820312500001776e+00
1.661132812499999112e-02 1.585449218750002220e+00
1.934570312499994671e-02 1.059863281250001954e+00
1.291992187499990674e-02 1.352441406250002309e+00
1.309082031249997335e-02 9.396484375000012657e-01
1.240722656249992895e-02 1.012597656250001199e+00
2.190917968749994671e-02 1.068261718750001421e+00
1.237304687500007105e-02 1.400781250000001865e+00
2.426757812499991118e-02 1.559375000000002842e+00
1.893554687499998668e-02 1.462109375000002265e+00
1.955078124999998224e-02 1.381542968750002043e+00
1.134765625000000444e-02 9.668945312500015765e-01
2.611328124999989786e-02 1.844433593750002487e+00
1.760253906249986677e-02 1.206347656250001732e+00
1.996093749999983125e-02 1.307910156250001954e+00
2.013183593750000888e-02 1.647753906250002398e+00
1.449218750000003109e-02 1.405175781250001865e+00
2.074707031250000444e-02 1.191406250000001998e+00
1.674804687499986677e-02 1.218652343750001643e+00
1.722656249999998668e-02 1.606542968750002576e+00
1.148437499999988010e-02 8.672851562500014655e-01
1.237304687499984901e-02 1.108496093750001688e+00
1.575683593749999112e-02 8.360351562500014655e-01
2.098632812500000888e-02 1.451367187500002043e+00
1.339843749999980460e-02 1.059960937500001865e+00
1.291992187499990674e-02 1.363867187500001910e+00
1.418457031249986677e-02 1.041992187500001776e+00
1.469726562500006661e-02 9.849609375000014655e-01
1.773925781249985345e-02 1.537402343750001954e+00
1.746582031249976907e-02 1.016601562500001554e+00
1.855957031249999556e-02 1.204589843750002442e+00
2.296874999999998224e-02 1.778222656250002753e+00
2.078124999999997335e-02 1.420703125000001954e+00
1.483398437499994227e-02 1.255664062500001954e+00
1.708984374999977796e-02 1.148339843750001865e+00
2.525878906250000888e-02 2.258203125000004530e+00
2.125976562499998224e-02 1.813378906250002309e+00
1.500488281250011990e-02 1.065136718750001599e+00
2.467773437499998224e-02 1.733593750000002487e+00
1.555175781249995559e-02 1.190722656250001954e+00
1.756835937500000888e-02 1.359765625000002309e+00
1.319335937499999112e-02 1.401269531250001865e+00
2.194335937500002665e-02 1.509863281250002132e+00
2.307128906250000000e-02 1.264160156250001554e+00
2.426757812500013323e-02 1.423828125000002442e+00
2.030273437499985345e-02 1.141210937500002132e+00
2.218261718749992006e-02 1.339550781250002487e+00
1.339843750000002665e-02 1.162207031250002354e+00
1.394531249999997335e-02 9.862304687500014211e-01
1.425292968749991562e-02 1.317578125000002265e+00
1.394531249999997335e-02 1.410839843750002043e+00
1.859374999999996447e-02 1.530566406250002398e+00
2.375488281250004441e-02 1.400292968750002087e+00
1.753417968749992895e-02 1.144433593750001643e+00
2.221679687500000000e-02 1.537011718750002309e+00
1.445800781249995115e-02 1.121777343750002043e+00
1.517578124999996447e-02 1.486523437500002265e+00
1.753417968749981792e-02 1.088281250000001199e+00
1.613281249999998224e-02 1.302929687500002265e+00
1.196289062499988898e-02 1.456835937500002398e+00
1.346679687499996447e-02 9.231445312500013989e-01
1.186035156249998224e-02 1.336230468750002620e+00
1.585937500000000888e-02 1.412890625000001954e+00
1.370605468749996891e-02 7.946289062500007105e-01
9.809570312499849010e-03 6.188476562500011546e-01
1.230468750000013323e-02 8.677734375000016875e-01
2.030273437499996447e-02 1.418359375000001865e+00
1.524414062500012434e-02 1.061328125000001288e+00
1.592773437500005773e-02 1.266406250000002176e+00
1.589355468749986677e-02 1.168457031250001998e+00
1.585937500000000888e-02 1.197656250000002087e+00
2.768554687500002220e-02 1.795214843750002398e+00
1.080078124999994671e-02 9.670898437500011768e-01
1.869628906249998224e-02 1.703125000000002665e+00
1.791015624999992006e-02 1.455468750000002309e+00
1.032226562500004885e-02 8.877929687500016875e-01
1.425292968750002665e-02 8.995117187500015765e-01
1.418457031249997780e-02 1.214941406250002354e+00
1.869628906249998224e-02 1.127832031250001643e+00
1.637207031249998668e-02 1.543359375000002309e+00
1.630371093749993783e-02 1.334863281250001643e+00
1.435546874999993339e-02 1.127734375000002176e+00
1.517578125000007550e-02 1.570996093750001599e+00
1.216796874999981348e-02 1.067578125000001821e+00
1.445800781249984013e-02 1.016503906250001643e+00
1.449218749999992006e-02 9.775390625000018874e-01
2.279785156249991562e-02 1.526660156250002398e+00
1.155273437500003997e-02 9.163085937500017319e-01
1.401367187500002220e-02 1.251855468750001643e+00
1.814941406249992450e-02 1.431347656250002265e+00
3.233398437499990230e-02 2.338476562500003020e+00
1.520996093749982236e-02 1.129882812500001998e+00
1.476562499999989342e-02 1.062207031250001377e+00
1.240722656249992895e-02 7.978515625000014433e-01
2.043945312500006217e-02 1.317480468750001910e+00
1.599609374999988454e-02 1.364550781250002176e+00
2.348144531250007105e-02 1.502734375000002398e+00
1.691894531249993339e-02 1.413476562500002753e+00
1.415039062499989786e-02 1.500683593750002487e+00
2.228515624999982681e-02 1.770507812500002887e+00
1.298828124999995559e-02 9.741210937500012212e-01
1.192871093749992006e-02 8.802734375000013101e-01
1.223632812499986233e-02 9.961914062500013545e-01
2.146484375000001776e-02 1.348730468750002132e+00
1.620117187500003109e-02 1.155273437500001776e+00
2.043945312500006217e-02 1.115820312500001021e+00
1.524414062500012434e-02 1.291015625000001554e+00
9.741210937500133227e-03 7.878906250000017319e-01
2.081542968749994227e-02 1.439257812500001954e+00
2.358398437499986677e-02 1.779492187500002043e+00
1.743164062500002220e-02 1.559667968750002354e+00
1.961914062500003109e-02 1.641406250000002398e+00
1.780761718750001332e-02 1.391503906250002309e+00
1.996093750000005329e-02 1.409863281250002043e+00
2.512207031250002220e-02 1.805566406250002753e+00
1.291992187500012879e-02 9.576171875000019096e-01
1.104003906250006217e-02 9.715820312500018652e-01
1.941406249999999556e-02 1.361914062500002354e+00
