# [SH0ES_CALIB] This is the data for LCDM distribution with a new set of data for each repetition
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.735727097743811065e-02 1.344537755867488915e+00
1.708685657514064093e-02 1.082024407155373069e+00
1.537168783610587397e-02 1.106724706684275361e+00
1.335164180562853353e-02 9.868418292012547388e-01
1.663073235390433169e-02 1.407322153742378124e+00
1.992551949882948037e-02 1.644022532387728885e+00
1.521780257068061637e-02 1.209075043274453476e+00
1.798063714957487402e-02 1.373695297411973604e+00
1.610210858544702806e-02 1.095808042955886741e+00
2.352419067354249993e-02 1.445194910097608698e+00
1.835371731185619915e-02 1.394702283177511104e+00
1.636862727195498302e-02 1.066354437028907753e+00
2.082336351202984659e-02 1.674052951853263638e+00
2.125596561739873103e-02 1.379728339825210037e+00
1.320031022593415315e-02 1.208191052320066294e+00
1.861719758875302055e-02 1.678053363099648809e+00
2.185624040182465588e-02 1.743170205132976491e+00
1.325275143742199457e-02 9.952439810986939417e-01
2.435262234700152906e-02 2.200459171912865219e+00
1.818740938975760280e-02 1.307400326580443917e+00
2.199797233751443759e-02 1.478306582063908081e+00
1.433918408540679756e-02 9.843456458087462835e-01
1.353477844841655120e-02 1.006101724319395707e+00
2.300276580077353916e-02 1.498673972246360009e+00
1.688473870922013731e-02 1.302393299511424685e+00
2.288636562561996435e-02 1.987922791454424409e+00
1.452449919678922008e-02 1.145184469226059321e+00
1.507896710255252071e-02 1.252208238979841459e+00
2.098117558898604518e-02 1.608399244641413484e+00
1.712391461286222327e-02 1.332762227599371574e+00
2.359604212587962380e-02 1.817793151072248481e+00
1.863862848415465123e-02 1.753121015462726806e+00
1.388408652383321673e-02 1.150600596181539315e+00
2.582056889241857167e-02 2.113089056970608670e+00
2.287867773592944243e-02 1.494678747963553711e+00
1.449513855469553025e-02 1.119633259671742431e+00
1.789946834400601983e-02 1.445955054585026600e+00
1.396461181151242847e-02 9.971131027624227094e-01
1.520285889058248241e-02 1.150572085434696801e+00
1.696826006962293132e-02 1.386431753904996844e+00
2.148840467659984821e-02 1.712279745387878860e+00
2.340005665554745207e-02 1.535233732567014231e+00
1.911726116613521320e-02 1.192604197082794082e+00
2.324417004073375814e-02 1.512295815331575977e+00
1.725713992061073121e-02 1.421381180690479473e+00
2.057230270053667098e-02 1.352722634565730830e+00
1.551363227128532696e-02 1.228611430718748121e+00
1.961743097833912319e-02 1.343012770076289275e+00
1.841668796730377977e-02 1.484031989204283697e+00
1.855041235243914954e-02 1.404757457164166112e+00
1.555649591108532181e-02 1.159378091577700554e+00
2.056467555505303579e-02 1.366126315029323690e+00
1.898829192216566764e-02 1.386983241803283029e+00
1.741466222134269159e-02 1.672873766424009867e+00
2.244179385092048840e-02 1.432568884877940096e+00
1.915143495326865342e-02 1.367903626113213145e+00
