# [SH0ES_CALIB]This is the data for ISO distributed Sne positions with a new set of data for each repetition.
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_iso_max            delta_q0_iso_max
8.140365150677619788e-03 7.003625736854837136e-01
8.099634082046391903e-03 7.758177857219905604e-01
8.431952820813326532e-03 6.099680561713380911e-01
1.134865049965005923e-02 8.954389215732045937e-01
1.157089106084763230e-02 1.019851471292387401e+00
1.402569954068133562e-02 1.168359293027553480e+00
7.372314247502842477e-03 5.341941988285173748e-01
1.484176006973902950e-02 1.227784976965081043e+00
1.359346677089467992e-02 1.045565005322389940e+00
9.567998622314721757e-03 6.722345109823162357e-01
8.970653364965719412e-03 6.311726125112353536e-01
8.819707111490382445e-03 6.810557342063374708e-01
1.131779973888502600e-02 6.924415816068397733e-01
8.019544446158155537e-03 7.400412908775748644e-01
9.011114541663256539e-03 7.734369603585531383e-01
8.888973563965674174e-03 5.457269831024587070e-01
1.200565330741509840e-02 9.378539666119640739e-01
1.022339828226126457e-02 7.327865757417020287e-01
1.024122046112962980e-02 9.257138688449645381e-01
1.347351646011585302e-02 7.288691370092004185e-01
1.049220020945207388e-02 6.242399232998923075e-01
8.940135200812382443e-03 7.784709222133636697e-01
1.064136353250844103e-02 8.313279519756395786e-01
7.828092062106328797e-03 7.270342420863565858e-01
1.249177115969679619e-02 9.480146576689112425e-01
8.168974092974679024e-03 6.988042322440137788e-01
9.351997224074315440e-03 6.491998787889459166e-01
1.461143368147621580e-02 1.220009442100996822e+00
1.277578033400994517e-02 8.802041267614948428e-01
1.125577829209012393e-02 7.551159118995143249e-01
7.615503310221094502e-03 5.817465491897457763e-01
1.204633641216490414e-02 8.059607464340248217e-01
1.107262331538105826e-02 9.679478322458416883e-01
1.230028390646575875e-02 9.748620018186998637e-01
1.167134082483556323e-02 9.730295028541782187e-01
1.044332397864811135e-02 8.146032579249959937e-01
9.824235196083663801e-03 6.349563124084711685e-01
1.272727608984569603e-02 1.075156809141841752e+00
7.150504339087593308e-03 6.631121697396898940e-01
1.284220425441584545e-02 9.253883682271168976e-01
7.523442341474617656e-03 7.080599185912590521e-01
9.563493152694890753e-03 8.264442171999245579e-01
1.182767523274808052e-02 7.176350521486296596e-01
1.118821366016020669e-02 8.029470098789173171e-01
1.472055270275485217e-02 1.152861882351202460e+00
9.771860116913222427e-03 7.114031204704647227e-01
1.057469538310973345e-02 8.173319088485129225e-01
1.064893522245946578e-02 8.445229492476277189e-01
1.147136083167321630e-02 7.893851263715934152e-01
1.167130203674482392e-02 9.479749257692322573e-01
1.541651373193220209e-02 1.171912019689928197e+00
8.905439492306821414e-03 6.570817785031979330e-01
1.363094825910537988e-02 1.086450054226291373e+00
1.212680500647445037e-02 1.026999409881421910e+00
1.293932692080124180e-02 7.646567995553639197e-01
1.072751935381455191e-02 7.804485717668114830e-01
1.229032152031295233e-02 8.936301787205870317e-01
8.611311854596070958e-03 6.496181621983918575e-01
9.240933608215096129e-03 7.271897408554590658e-01
9.126910561964463042e-03 7.894249072766983399e-01
1.329009376345835491e-02 9.960869580426222614e-01
1.025089112580856998e-02 9.299996630278123400e-01
1.274768706819806585e-02 9.018416743522267298e-01
1.118298850997201388e-02 7.664641707566353102e-01
8.930117459535535929e-03 6.785000665871300241e-01
1.410817482540960288e-02 1.077131837833398498e+00
8.529317059449814664e-03 7.492067432890965328e-01
9.705828235005098392e-03 7.868017743309216883e-01
6.464058597701938247e-03 5.843539956818202263e-01
1.228697253659216670e-02 1.015998944961924444e+00
7.753919201211156853e-03 5.640318379839838192e-01
1.332616793359331364e-02 8.803588997016862372e-01
1.089248150942256910e-02 9.678165848392210613e-01
9.462116547259369348e-03 7.948731694601959274e-01
1.212402695118974805e-02 6.807133742369141371e-01
1.385043730697976816e-02 1.060079715338400064e+00
1.140124495032757146e-02 9.069040853013764503e-01
9.828988703030394625e-03 7.434244139756451819e-01
1.501755883088495835e-02 9.710123029972264064e-01
1.560468939709525049e-02 1.022152077035608952e+00
1.151279057004772621e-02 9.120660974488976613e-01
1.114865492822503246e-02 9.664417816979553599e-01
1.002367863485609245e-02 5.065612781266468634e-01
1.242922195001494590e-02 1.058049201751655399e+00
7.769305409422000430e-03 5.396025844391808546e-01
9.114260110421601446e-03 7.506559070973727321e-01
9.176020539636065010e-03 6.762947563369793302e-01
1.059577205334605310e-02 6.332861447062999583e-01
8.334837915005444131e-03 7.301327198557088227e-01
1.258893834500185438e-02 1.018168948793032325e+00
1.108263354381466836e-02 9.100343184505761407e-01
9.083520817925516688e-03 7.960023089304280042e-01
1.090352291827645370e-02 7.839643271972420724e-01
7.365973661262459338e-03 7.454227315768893192e-01
1.127222318134735168e-02 9.603454059136327103e-01
8.838428079520954661e-03 7.899689693129596790e-01
1.180317942448316781e-02 9.819127926372775983e-01
1.074587979222463296e-02 8.674279195217277083e-01
9.819189323910570977e-03 8.343524584445145553e-01
1.060356768491943491e-02 9.147455434569893296e-01
1.470924686363694889e-02 1.126635277966977489e+00
1.307211489514614744e-02 1.104374924711466699e+00
9.042071395050643723e-03 9.041716109634528875e-01
9.030507220444961014e-03 7.992891354514668478e-01
9.500847071285623002e-03 9.131518720481732743e-01
8.552939527617930970e-03 6.895114394167565219e-01
1.088171967337314694e-02 8.147892992835296111e-01
8.861816526027022078e-03 8.462348436441302635e-01
1.211608887978687932e-02 8.663061041879631663e-01
1.211593416867251527e-02 8.500315769182611447e-01
8.374429161729368687e-03 5.597546576144474262e-01
1.050953724976977366e-02 7.134006111030382069e-01
6.583591998401305823e-03 5.050393713755048086e-01
1.023675436753856971e-02 8.807541040047779379e-01
1.026102626459324263e-02 8.251995222024953724e-01
8.631799857875877002e-03 6.682857195917288884e-01
1.052084887492377163e-02 7.783689475515382927e-01
8.863155024115054736e-03 7.098107384443460566e-01
8.006139728650163434e-03 5.473863531813326633e-01
1.062820285950494270e-02 8.663878355736449599e-01
1.043496528079734809e-02 7.378557470020892239e-01
9.013376711292875321e-03 6.475990685535281122e-01
8.155639252250823645e-03 6.509107174942861951e-01
1.073313533530384500e-02 8.716002366323146733e-01
7.690527709663275147e-03 6.821025479693713089e-01
8.020245700274930556e-03 6.454368534257596268e-01
1.152862060737203098e-02 8.187493662987334053e-01
1.398175132465206971e-02 1.224955416124416496e+00
9.096622945729881948e-03 6.680149938091186623e-01
1.110447060288388688e-02 7.804495266316786584e-01
1.274235585766303469e-02 9.278912682243339871e-01
9.989632256930947030e-03 8.198925339621949693e-01
8.978020362499283813e-03 7.207957736219134937e-01
1.245989376854406139e-02 9.756303393451529749e-01
1.172419927192447364e-02 8.972752750239376685e-01
1.018981503132099231e-02 6.338483974642674657e-01
1.117155050547591344e-02 9.038187567361805064e-01
1.282669410029868562e-02 1.018009523898488533e+00
1.232925645337301646e-02 8.076312013514109767e-01
1.369130557128483971e-02 1.009530673812845558e+00
1.579530538393469907e-02 1.417595469773551331e+00
1.064055520207063399e-02 8.922378075776520312e-01
1.395547587052770044e-02 1.170165893899829168e+00
9.764515971791398741e-03 8.376871436876012211e-01
9.130178882200024049e-03 7.012898074121638459e-01
1.433732460374115281e-02 1.033865692112108992e+00
1.039774584674590940e-02 8.904887057436630116e-01
1.466561747087136158e-02 9.287161424624621464e-01
1.219994778080146780e-02 9.251028450546534554e-01
8.600607352663880434e-03 6.844391429513305702e-01
9.865313128527453124e-03 8.041452663139322388e-01
1.376717093224499866e-02 1.212996698552154751e+00
9.896704976589010272e-03 7.648807472806793406e-01
7.358811588008551396e-03 6.616256838936451778e-01
1.128624956177171068e-02 6.086171393575965372e-01
1.426309277103088302e-02 1.093127835164341866e+00
9.819778508402654538e-03 8.133578879205836110e-01
1.042816128638157647e-02 7.945399395681259636e-01
1.116538245520404260e-02 7.041109081699647998e-01
1.092908930636526943e-02 9.227712033910808742e-01
8.784224110545690856e-03 6.277731690203678383e-01
9.666011449998679339e-03 9.711755433472849530e-01
1.403934630309300324e-02 8.664260518362296715e-01
9.499979854116769040e-03 8.451412530647166577e-01
1.069698001898211626e-02 8.693359032799101715e-01
1.425151181322070748e-02 1.089322798653900914e+00
1.064588139560873614e-02 7.450471203097741579e-01
1.452677026994531051e-02 1.120239670066532245e+00
9.699731424748225805e-03 8.978210667777002385e-01
9.253722802559316563e-03 5.198068751913702545e-01
9.713240647527210392e-03 6.972467960232087147e-01
9.393203629493251938e-03 7.437538167688345636e-01
8.010346514373378746e-03 6.070690601930468500e-01
1.004152688965909146e-02 8.675732790764091318e-01
8.282156592265943473e-03 7.266480371324584020e-01
1.177837762561484425e-02 8.300039287334883831e-01
8.898407414187792241e-03 6.816086297777460556e-01
1.962101482338496350e-02 1.430241372550353107e+00
1.348955508866644948e-02 1.104002943147536220e+00
1.021939603893107229e-02 6.202418155743119055e-01
9.874828051927075911e-03 8.353326119452239018e-01
9.882916009370301680e-03 7.882133279598787512e-01
7.872900481111222426e-03 7.181117861615347042e-01
1.243876540842192568e-02 8.454879841031275323e-01
1.260623269783067713e-02 9.310636148434728865e-01
1.107766029650814055e-02 8.770567682407810484e-01
1.093579352458029508e-02 1.023992567599796288e+00
8.163745520744059014e-03 8.479186094464978840e-01
1.007347815480741371e-02 9.541349355160737566e-01
8.639519895399572214e-03 7.189028456351105323e-01
9.314331737319880844e-03 7.894835839927645260e-01
1.176960672787563666e-02 8.565087969872378082e-01
